delta_G,repeat,average_cost,num_iters,time,basin
0.0,1,495.21623008203915,125.54166666666667,286.01059794425964,high
0.0,2,495.21623008203915,125.54166666666667,264.801472902298,high
0.0,3,495.21623008203915,125.54166666666667,270.75075507164,high
0.0,4,495.21623008203915,125.54166666666667,244.64075899124146,high
0.0,5,495.21623008203915,125.54166666666667,263.8144459724426,high
0.0,6,495.21623008203915,125.54166666666667,364.25163292884827,high
0.0,7,495.21623008203915,125.54166666666667,381.0186758041382,high
