num_builds,average_cost,num_iters,time
2.0,253.34840434377173,14.5625,24.516726970672607
3.0,192.1946410604737,62.145833333333336,71.55439805984497
4.0,380.04849869507893,442.4895833333333,572.4009368419647
5.0,307.16345391365576,3159.7604166666665,5263.119490861893
6.0,275.03303228002477,916.9791666666666,1622.4865839481354
7.0,504.2790915615159,770.65625,1227.0733110904694
8.0,459.51819885958935,1101.34375,1648.3807141780853
9.0,414.0069736516917,773.8541666666666,1158.8371851444244
10.0,483.55980797489593,1501.4895833333333,2418.987706899643
11.0,420.16901347482985,2119.1979166666665,3460.6259140968323
12.0,593.7326391385104,2739.1666666666665,4577.122227907181
13.0,642.2626096510231,2847.6770833333335,4600.089231967926
14.0,599.2177616219534,2840.5104166666665,4478.355885028839
15.0,577.6778683971065,2994.5729166666665,4956.143844127655
16.0,680.5135568339632,3990.9791666666665,7264.207151174545
17.0,643.6821102433468,8063.375,13937.224326848984
18.0,686.674523393332,22090.552083333332,51813.68160700798
19.0,681.5995070731119,6031.96875,19741.292288780212
20.0,715.8770186765606,6295.135416666667,20217.58992910385
21.0,733.7374586561327,15165.958333333334,38003.78467917442
22.0,770.8860417855147,5506.4375,10196.785148143768
23.0,797.6240573913792,15709.885416666666,31302.127863883972
24.0,824.6012121930445,7732.0,15041.105077981949
