num_builds,average_cost,num_iters,time
2.0,253.34840434377173,14.5625,40.514851093292236
3.0,192.1946410604737,62.145833333333336,145.9129011631012
4.0,380.0881247873625,527.1666666666666,1523.8995079994202
5.0,307.318043262767,3158.2395833333335,11169.945061922073
6.0,274.70249587004395,727.7083333333334,2368.7318749427795
7.0,501.6964586998438,1201.90625,3704.4425139427185
8.0,461.06444554968925,970.15625,2561.5467240810394
9.0,412.86747368454894,1251.8645833333333,4173.263986110687
10.0,488.56661095544894,1361.7395833333333,3914.1673760414124
11.0,424.000285407083,2458.8020833333335,7224.028147935867
12.0,599.2027405873256,2553.5625,8115.208920955658
13.0,639.5332816133716,2541.15625,6945.221504211426
14.0,602.671351716927,2405.8854166666665,8314.252871990204
15.0,580.0510602296987,3562.8020833333335,9566.41594696045
16.0,677.1204096349845,3914.7604166666665,13937.437587022781
17.0,647.3324791832083,5367.072916666667,17974.13400888443
18.0,688.2950362288809,5648.041666666667,18138.561790943146
19.0,680.5779981637354,5649.90625,17602.972259044647
20.0,713.9662559633301,6227.989583333333,20511.358733177185
21.0,734.8972976002862,32972.479166666664,77104.4189889431
22.0,771.3074467845545,4878.104166666667,12569.125800848007
