subset,window,num_builds,max_coal_size,dec_avg,coal_dg0_avg,benefit,benefit_pct
small6,day37_best,6,6,-6980.086765041597,-6981.22101939177,1.1342543501732507,0.01624986032915726
small6,day43_mid,6,6,-5880.92053507638,-5881.952968131934,1.0324330555540655,0.017555636900654984
small6,day0_worst,6,6,-7260.633523333133,-7260.863103762965,0.22958042983191262,0.003161988951709538
balanced10,day37_best,10,6,-3906.5515530020202,-3906.6078223367304,0.056269334710123076,0.0014403837744540312
balanced10,day43_mid,10,6,-3252.346429243339,-3252.624571941012,0.2781426976730472,0.00855206244857985
balanced10,day0_worst,10,6,-4099.770424288185,-4100.000896248092,0.2304719599078453,0.005621582090120585
mixed12,day37_best,12,8,-3035.3089732401386,-3035.769539228615,0.46056598847644636,0.015173611402887935
mixed12,day43_mid,12,8,-2539.3502157303133,-2539.650046212632,0.29983048231861176,0.011807370265876499
mixed12,day0_worst,12,8,-3265.9180901863615,-3266.272145273182,0.35405508682060827,0.010840905284320985
big15,day37_best,15,8,-2342.9513727666695,-2343.257620557391,0.30624779072149977,0.013071026325222775
big15,day43_mid,15,8,-1985.334644676762,-1985.848652867206,0.514008190443974,0.025890254412382
big15,day0_worst,15,8,-2486.1894081904848,-2486.3190615073954,0.1296533169106624,0.005214941246372196
