num_builds,average_cost,num_iters,time
2.0,245.74089766444212,13.59375,76.13380002975464
3.0,185.88096258022065,244.625,1148.0418498516083
4.0,374.60654070020695,4853.708333333333,37560.070528030396
5.0,NaN,4530.8125,58539.05813193321
6.0,269.44893387554265,227.85416666666666,1981.9456689357758
7.0,496.91851690092943,1257.3229166666667,11736.24696111679
8.0,454.60353112116536,690.9166666666666,5293.941586971283
