param,t,theta_min_feas,theta_max_feas,theta_min_opt,theta_max_opt,theta_true,ratio_feas,ratio_opt
net_load,1,-375.27700429993007,624.72299570007,-375.27700429993007,124.78568389201372,55.30766571904604,18.080676285993295,9.041471587902137
net_load,2,-381.3882146070258,618.6117853929742,-381.3882146070258,119.33069166449955,55.50668054355401,18.015849447443312,9.02087643087628
net_load,3,-396.5537293198238,603.4462706801762,-396.5537293198238,104.16519171999276,55.6384197615034,17.973191982923762,8.999517297331067
net_load,4,-383.01317696727807,616.9868230327219,-383.01317696727807,117.70576886653694,55.66536931923402,17.964490530281466,8.995160760764088
net_load,5,-370.4024513573769,629.5975486426231,-370.4024513573769,129.5975486426231,55.52279676856663,18.010620109218536,9.005310054609268
net_load,6,-497.9184436809028,502.0815563190972,2.022398786488991,502.0815563190972,55.58599207737892,17.990143966629976,8.996136235843322
net_load,7,-498.90215824774555,501.09784175225445,0.48870772841817606,501.09784175225445,55.560066100519364,17.998538702074224,9.01023287333988
net_load,8,-492.1416297870813,507.8583702129187,7.249219139198171,507.8583702129187,55.22493135992774,18.10776356574377,9.064912146490636
net_load,9,-499.5898021263241,500.4101978736759,-0.19893797650501435,500.4101978736759,36.575156133128196,27.34096325823318,13.687135990015658
net_load,10,-499.7133297291195,500.2866702708805,-0.32246533105293756,500.2866702708805,31.83788758340379,31.409119005787066,15.72369191550532
net_load,11,-499.6270167128395,500.3729832871605,-0.23615077952047728,500.3729832871605,27.842946630691852,35.91573884991323,17.979746925020113
net_load,12,-498.7411202411293,501.2588797588707,0.6497447810461875,501.2588797588707,25.37722254024215,39.40541556170071,19.726710997784696
net_load,13,-497.0933338758424,502.9066661241576,2.8094933665780815,502.9066661241576,13.32750101759435,75.03282113277247,37.52370171252468
net_load,14,-506.9410254470698,493.0589745529302,-9.826115348062226,-6.840461233721992,-6.941025936597441,144.07092109069538,0.43014593831122183
net_load,15,-511.50153617799236,488.49846382200764,-14.386633302013562,-10.165859984707634,-11.501541138943601,86.94487007606777,0.36697458769369756
net_load,16,-515.7621342618609,484.2378657381392,-15.76213426186082,-13.02072849850862,-15.762117201307078,63.44325367134529,0.17392370126044168
Q_b,0,0.0,2000.0,0.0,2000.0,300.0,6.666666666666667,6.666666666666667
P_b,0,0.0,500.0,0.0,500.0,75.0,6.666666666666667,6.666666666666667
SoC_0,0,-0.0,2000.0,0.0,0.07230931539017486,0.0,2000.0,0.07230931539017486
