delta_G,repeat,average_cost,num_iters,time
0.01,1.0,493.60780409136606,57.145833333333336,53.56132221221924
0.01,2.0,493.65980512864655,58.020833333333336,27.420665979385376
0.01,3.0,494.65344040383263,63.666666666666664,27.878570079803467
0.01,4.0,427.60059437099716,40.947916666666664,30.04246997833252
0.01,5.0,494.7266016571531,64.55208333333333,28.30714511871338
0.01,6.0,489.16806794465737,55.96875,26.384012937545776
0.01,7.0,495.0677787934316,64.92708333333333,28.039068937301636
0.01,8.0,489.36883048192595,52.708333333333336,26.410839796066284
0.01,9.0,488.9268400563318,54.25,27.35022497177124
0.01,10.0,493.74759762420115,58.489583333333336,27.36826801300049
5.06040404040404,1.0,489.41433406663936,52.125,28.68814206123352
5.06040404040404,2.0,489.8263571401746,62.520833333333336,31.073373079299927
5.06040404040404,3.0,495.0578550885887,61.322916666666664,27.960036039352417
5.06040404040404,4.0,489.0426031168201,49.645833333333336,26.078261137008667
5.06040404040404,5.0,489.38326642293333,52.989583333333336,27.219040155410767
5.06040404040404,6.0,492.93508016853673,64.59375,27.293166875839233
5.06040404040404,7.0,409.7707371229297,44.864583333333336,24.18056321144104
5.06040404040404,8.0,493.43863784731695,58.09375,28.140506982803345
5.06040404040404,9.0,484.8493323153167,46.041666666666664,26.71107816696167
5.06040404040404,10.0,493.7697098225626,60.510416666666664,28.41879391670227
10.11080808080808,1.0,494.62747053028227,66.22916666666667,29.87789297103882
10.11080808080808,2.0,445.5280766705142,57.166666666666664,29.96043300628662
10.11080808080808,3.0,494.8160049719898,64.02083333333333,27.656572818756104
10.11080808080808,4.0,489.06512454545765,56.385416666666664,30.436332941055298
10.11080808080808,5.0,436.5903632007876,50.197916666666664,26.712138891220093
10.11080808080808,6.0,494.59970961189595,52.28125,26.952358961105347
10.11080808080808,7.0,488.7392951848589,42.197916666666664,22.66217589378357
10.11080808080808,8.0,489.97660509682294,63.416666666666664,31.73538112640381
10.11080808080808,9.0,489.91314235870306,56.125,29.810484170913696
10.11080808080808,10.0,489.39813089630195,52.333333333333336,28.598802089691162
15.161212121212122,1.0,489.28225742484284,48.614583333333336,27.42326784133911
15.161212121212122,2.0,409.63825928573635,51.364583333333336,29.145700931549072
15.161212121212122,3.0,409.70381181377735,51.270833333333336,29.096536874771118
15.161212121212122,4.0,489.3331293894797,54.510416666666664,28.813223838806152
15.161212121212122,5.0,494.96644926571014,66.5625,30.702877044677734
15.161212121212122,6.0,414.0332867409302,57.458333333333336,31.10155415534973
15.161212121212122,7.0,494.93303327158975,71.0625,29.949100017547607
15.161212121212122,8.0,414.6410064532086,60.78125,33.496285915374756
15.161212121212122,9.0,493.7267356930637,58.041666666666664,29.36388897895813
15.161212121212122,10.0,489.01216754796906,57.979166666666664,29.648221015930176
20.211616161616163,1.0,490.45846615179744,64.20833333333333,31.35692000389099
20.211616161616163,2.0,410.5757220355764,60.645833333333336,31.99797487258911
20.211616161616163,3.0,493.9823971061007,67.53125,32.23891019821167
20.211616161616163,4.0,489.28274820496733,51.083333333333336,27.98794388771057
20.211616161616163,5.0,493.89072967635576,58.78125,30.060553073883057
20.211616161616163,6.0,494.029851799505,63.895833333333336,31.7747220993042
20.211616161616163,7.0,489.35406047986487,53.28125,29.015887022018433
20.211616161616163,8.0,489.1473217120043,55.947916666666664,28.695502996444702
20.211616161616163,9.0,489.5074562794124,55.125,29.11251711845398
20.211616161616163,10.0,484.8433348164173,44.979166666666664,26.033148050308228
