window,delta_G,repeat,average_cost,num_iters,time,benefit_vs_dec,basin
day37_best,0.0,1,-6981.22101939177,18.875,40.02394413948059,1.1342543313694478,A_none
day37_best,0.0,2,-6981.22101939177,18.875,25.014506816864014,1.1342543313694478,A_none
day37_best,0.0,3,-6981.22101939177,18.875,26.158108949661255,1.1342543313694478,A_none
day37_best,0.0,4,-6981.22101939177,18.875,26.395467042922974,1.1342543313694478,A_none
day37_best,0.0,5,-6981.22101939177,18.875,26.322752952575684,1.1342543313694478,A_none
day37_best,0.1,1,-6980.96729538183,20.125,27.07721495628357,0.8805303214294327,A_none
day37_best,0.1,2,-6980.639365798597,19.21875,25.067749977111816,0.5526007381968157,A_none
day37_best,0.1,3,-6980.751416143957,19.25,26.117700815200806,0.6646510835562367,A_none
day37_best,0.1,4,-6980.486472863286,18.677083333333332,24.821592092514038,0.39970780288513197,A_none
day37_best,0.1,5,-6980.513887383137,18.833333333333332,24.02167296409607,0.42712232273697737,A_none
day37_best,1.0,1,-6980.7666626414475,18.229166666666668,25.001636028289795,0.6798975810470438,A_none
day37_best,1.0,2,-6981.016970069085,18.833333333333332,25.938406944274902,0.9302050086844247,A_none
day37_best,1.0,3,-6980.849286537908,19.083333333333332,25.81096386909485,0.7625214775071072,A_none
day37_best,1.0,4,-6980.885738582907,21.96875,28.441170930862427,0.7989735225064578,A_none
day37_best,1.0,5,-6980.671993680616,18.427083333333332,26.122659921646118,0.5852286202152754,A_none
