num_builds,average_cost,num_iters,time
2.0,253.97930357046056,2.0,13.926315069198608
3.0,193.21153915742505,3.0,1.6654319763183594
4.0,383.5269861066797,4.0,2.1980769634246826
5.0,309.72159962059106,5.0,2.66473388671875
6.0,279.7492468420365,6.0,3.2743449211120605
7.0,513.9537088136296,7.0,3.8102428913116455
8.0,472.8989160942224,8.0,4.308099985122681
9.0,421.25591123777053,9.0,4.781905889511108
10.0,495.6531912220118,10.0,5.329463005065918
11.0,440.37637936781897,11.0,5.9755470752716064
12.0,612.2044389798717,12.0,6.533671140670776
13.0,657.7805596193549,13.0,7.0157530307769775
14.0,616.0063306477562,14.0,7.537128925323486
15.0,592.0138023522456,15.0,8.151835918426514
16.0,695.9660934502599,16.0,8.732742071151733
17.0,663.6191810963625,17.0,9.251794815063477
18.0,710.499814404718,18.0,9.863211154937744
19.0,700.8467015191003,19.0,10.415765047073364
20.0,736.4870858701648,20.0,10.905650854110718
21.0,756.1915403017642,21.0,11.479485034942627
22.0,789.512396490421,22.0,11.961361169815063
23.0,823.0877725735409,23.0,12.560576915740967
24.0,840.3653378538174,24.0,13.06130599975586
25.0,816.0564174215018,25.0,13.734833002090454
26.0,816.882556499877,26.0,14.497927188873291
27.0,785.460751521188,27.0,15.144843101501465
28.0,675.0200810939772,28.0,15.653105020523071
29.0,732.5974477626675,29.0,16.24064803123474
30.0,738.0166982989155,30.0,16.806304931640625
31.0,716.2773161432559,31.0,17.514153003692627
32.0,742.3028827687348,32.0,17.974812984466553
33.0,782.8025180767453,33.0,18.41862392425537
34.0,775.1139760634834,34.0,19.06543517112732
35.0,799.0264544537628,35.0,19.59455895423889
36.0,797.7504650916063,36.0,20.101624011993408
37.0,804.9254589429991,37.0,20.6879301071167
