num_builds,average_cost,num_iters,time
2.0,253.8693887439764,1.0,6.615631818771362
3.0,192.50172667314746,1.0,0.8768160343170166
4.0,380.30511246304366,1.0,1.041024923324585
5.0,307.47244110757237,1.0,2.3648130893707275
6.0,270.93867266210304,1.0,1.5173590183258057
7.0,488.95711990164153,1.0,1.5817439556121826
8.0,449.16315043356985,1.0,1.8745448589324951
9.0,401.551670096372,1.0,1.8847870826721191
10.0,476.55784226613525,1.0,2.1184158325195312
11.0,406.4838801828909,1.0,2.2836620807647705
12.0,579.5190611402826,1.0,2.554625988006592
13.0,622.8839631463939,1.0,2.6852550506591797
14.0,583.6189510423628,1.0,2.7643370628356934
15.0,560.6910229520944,1.0,3.0353400707244873
16.0,659.3706674721457,1.0,3.1237008571624756
17.0,622.9569194718163,1.0,3.4511189460754395
18.0,669.443912662875,1.0,3.5731899738311768
19.0,660.801471018728,1.0,3.7130939960479736
20.0,695.4005441946902,1.0,4.197597980499268
21.0,715.2083651802192,1.0,4.441061973571777
22.0,747.9203139205853,1.0,4.2785069942474365
23.0,778.8104869929552,1.0,4.400305986404419
24.0,797.407557207341,1.0,4.5690929889678955
25.0,769.5059974808219,1.0,4.710319995880127
26.0,769.82324580561,1.0,4.7823381423950195
27.0,734.1078330686017,1.0,4.980921030044556
28.0,608.3788294955141,1.0,12.181746006011963
29.0,662.733685020919,1.0,5.9130940437316895
30.0,672.467163631492,1.0,5.424160003662109
31.0,649.1674748039038,1.0,6.248310089111328
32.0,674.3195539194558,1.0,5.746289968490601
33.0,711.4087593385852,1.0,6.123902082443237
34.0,706.3004564805905,1.0,6.018840074539185
35.0,727.237124227365,1.0,6.988220930099487
36.0,727.897171137623,1.0,6.564506769180298
37.0,736.1133306877633,1.0,6.777381896972656
38.0,731.080205898759,1.0,6.991147041320801
39.0,709.0493031917576,1.0,6.91173791885376
40.0,737.3116231833069,1.0,7.091087102890015
41.0,748.8909385431721,1.0,7.375929117202759
42.0,758.9251764742304,1.0,9.088976860046387
43.0,778.2595530090111,1.0,7.589825868606567
44.0,783.9903358293013,1.0,7.794875144958496
45.0,786.4406533929333,1.0,8.362334966659546
46.0,803.5226110412274,1.0,9.55302095413208
47.0,812.8104537965828,1.0,8.56924295425415
48.0,825.4540085714316,1.0,9.041423082351685
49.0,830.0893353978413,1.0,9.353238105773926
50.0,840.2846257595586,1.0,9.731765985488892
51.0,828.8673318130241,1.0,9.567107915878296
52.0,839.6724771899862,1.0,9.692865133285522
53.0,840.8597582005187,1.0,11.253880977630615
54.0,833.4753932667036,1.0,10.178345918655396
55.0,815.7090636508809,1.0,10.46940803527832
56.0,831.019152394561,1.0,10.680685043334961
57.0,841.8686511625151,1.0,10.794188022613525
58.0,850.5817006282091,1.0,10.88127088546753
59.0,859.8500128180274,1.0,11.500747919082642
60.0,852.9355904563974,1.0,11.807003021240234
61.0,859.1102626265206,1.0,11.5606369972229
62.0,51.3457259977182,1.0,13.432621002197266
63.0,59.05898486013795,1.0,13.643964052200317
64.0,75.1767006747559,1.0,14.338154077529907
65.0,86.83004788343104,1.0,14.010170936584473
66.0,93.45749522097982,1.0,14.503689050674438
67.0,113.34216144802,1.0,14.775339841842651
68.0,123.53605515842344,1.0,15.231775999069214
69.0,147.4441600235969,1.0,15.845829963684082
70.0,138.43318315951151,1.0,15.33071494102478
