param,t,theta_min_feas,theta_max_feas,theta_min_opt,theta_max_opt,theta_true,ratio_feas,ratio_opt
net_load,1,NaN,NaN,-175.27700429993007,124.72299570006993,55.30766571904604,NaN,5.424202885797988
net_load,2,NaN,NaN,-181.3882146070258,119.32749660622592,55.50668054355401,NaN,5.417648979698784
net_load,3,NaN,NaN,-196.55372931982382,104.16197861723373,55.6384197615034,NaN,5.404821151033567
net_load,4,NaN,NaN,-183.01317696727807,117.70252208168247,55.66536931923402,NaN,5.402204327872024
net_load,5,NaN,NaN,-170.4024513573769,129.5975486426231,55.52279676856663,NaN,5.403186032765561
net_load,6,NaN,NaN,2.022683634087835,77.08155631909719,55.58599207737892,NaN,1.3503199255762683
net_load,7,NaN,NaN,0.49165465846734346,76.09784175225447,55.560066100519364,NaN,1.3608008845237924
net_load,8,NaN,NaN,7.2521806461816265,82.85837021291874,55.22493135992774,NaN,1.369059004781279
net_load,9,NaN,NaN,-0.19599010413208764,75.41019787367588,36.575156133128196,NaN,2.0671460075963193
net_load,10,NaN,NaN,-0.3195169602118066,75.28667027088048,31.83788758340379,NaN,2.3747237323151955
net_load,11,NaN,NaN,-0.2332037120648742,75.37298328716048,27.842946630691852,NaN,2.7154520677018827
net_load,12,NaN,NaN,0.6526926259526622,76.25887975887068,25.37722254024215,NaN,2.979293223008343
net_load,13,NaN,NaN,2.8099561629610554,77.90666612415758,13.32750101759435,NaN,5.634718006178152
net_load,14,NaN,NaN,-9.8120835974341,-6.840943893568758,-6.941025936597441,NaN,0.42805483382501575
net_load,15,NaN,NaN,-14.372601516255948,-10.172353609905473,-11.501541138943601,NaN,0.36519000850491773
net_load,16,NaN,NaN,-15.762134261860822,-13.034062152272186,-15.762117201307078,NaN,0.17307777088235393
